relative_path,title_en,title_np,document_type,local_government_code,fiscal_year_code,language,source_url,source_url_kind,data_classification,source_note,project_code,relationship,page_from,page_to,section,evidence_note_en,evidence_note_np
pokhara_audited/77-78 audit.pdf,Pokhara Metropolitan City Audit Report 2077/78,पोखरा महानगरपालिका लेखापरीक्षण प्रतिवेदन २०७७/७८,audit_report,PKR,2077-78,nep+eng,https://oag.gov.np/reports/local-level-report,landing_page,official,Exact PDF attachment URL pending verification,PKR-W08-JALPA-2077-78,audit,48,48,पेश्की बाँकी,The official audit section on unsettled expired advances names Jalpa Marg drain and blacktopping in Ward 8 and P.L. Construction. Two NPR 690000 ledger rows require human review before aggregation.,आधिकारिक लेखापरीक्षणको म्याद नाघेको पेश्की बाँकी खण्डमा वडा नं. ८ को जाल्पा मार्ग नाला निर्माण तथा कालोपत्रे र पि.एल. कन्स्ट्रक्सन उल्लेख छ। रु. ६९०००० का दुई लेखा पङ्क्ति जोड्नुअघि मानवीय समीक्षा आवश्यक छ।
pokhara_audited/78-79 audit.pdf,Pokhara Metropolitan City Audit Report 2078/79,पोखरा महानगरपालिका लेखापरीक्षण प्रतिवेदन २०७८/७९,audit_report,PKR,2078-79,nep+eng,https://oag.gov.np/reports/local-level-report,landing_page,official,Exact PDF attachment URL pending verification,,,,,,,
pokhara_audited/79-80 audit.pdf,Pokhara Metropolitan City Audit Report 2079/80,पोखरा महानगरपालिका लेखापरीक्षण प्रतिवेदन २०७९/८०,audit_report,PKR,2079-80,nep+eng,https://oag.gov.np/reports/local-level-report,landing_page,official,Exact PDF attachment URL pending verification,,,,,,,
pokhara_audited/80-81 audit.pdf,Pokhara Metropolitan City Audit Report 2080/81,पोखरा महानगरपालिका लेखापरीक्षण प्रतिवेदन २०८०/८१,audit_report,PKR,2080-81,nep+eng,https://oag.gov.np/reports/local-level-report,landing_page,official,Exact PDF attachment URL pending verification,,,,,,,
pokhara_audited/81-82 audit.pdf,Pokhara Metropolitan City Audit Report 2081/82,पोखरा महानगरपालिका लेखापरीक्षण प्रतिवेदन २०८१/८२,audit_report,PKR,2081-82,nep+eng,https://oag.gov.np/reports/local-level-report,landing_page,official,Exact PDF attachment URL pending verification,,,,,,,
rupa_audited/77-78 audit (1).pdf,Rupa Rural Municipality Audit Report 2077/78,रूपा गाउँपालिका लेखापरीक्षण प्रतिवेदन २०७७/७८,audit_report,RUPA,2077-78,nep+eng,https://oag.gov.np/reports/local-level-report,landing_page,official,Exact PDF attachment URL pending verification,,,,,,,
rupa_audited/78-79 audit (1).pdf,Rupa Rural Municipality Audit Report 2078/79,रूपा गाउँपालिका लेखापरीक्षण प्रतिवेदन २०७८/७९,audit_report,RUPA,2078-79,nep+eng,https://oag.gov.np/reports/local-level-report,landing_page,official,Exact PDF attachment URL pending verification,,,,,,,
rupa_audited/79-80 audit (1).pdf,Rupa Rural Municipality Audit Report 2079/80,रूपा गाउँपालिका लेखापरीक्षण प्रतिवेदन २०७९/८०,audit_report,RUPA,2079-80,nep+eng,https://oag.gov.np/reports/local-level-report,landing_page,official,Exact PDF attachment URL pending verification,,,,,,,
rupa_audited/80-81 audit (1).pdf,Rupa Rural Municipality Audit Report 2080/81,रूपा गाउँपालिका लेखापरीक्षण प्रतिवेदन २०८०/८१,audit_report,RUPA,2080-81,nep+eng,https://oag.gov.np/reports/local-level-report,landing_page,official,Exact PDF attachment URL pending verification,,,,,,,
rupa_audited/81-82 audit (1).pdf,Rupa Rural Municipality Audit Report 2081/82,रूपा गाउँपालिका लेखापरीक्षण प्रतिवेदन २०८१/८२,audit_report,RUPA,2081-82,nep+eng,https://oag.gov.np/reports/local-level-report,landing_page,official,Exact PDF attachment URL pending verification,,,,,,,
pokhara_metropolitian/78-79.pdf,Pokhara Red Book and Annual Program 2078/79,पोखरा रातो किताब तथा वार्षिक कार्यक्रम २०७८/७९,budget_book,PKR,2078-79,nep,https://pokharamun.gov.np/budget-program?field_fiscal_year_tid=All,landing_page,official,Exact attachment URL pending verification
pokhara_metropolitian/79-80.pdf,Pokhara Annual Development Program and Red Book 2079/80,पोखरा वार्षिक विकास कार्यक्रम तथा रातो किताब २०७९/८०,budget_book,PKR,2079-80,nep,https://pokharamun.gov.np/budget-program?field_fiscal_year_tid=All,landing_page,official,Exact attachment URL pending verification
pokhara_metropolitian/80-81.pdf,Pokhara Detailed Expenditure Description 2080/81,पोखरा विस्तृत खर्च विवरण २०८०/८१,budget_book,PKR,2080-81,nep,https://pokharamun.gov.np/budget-program?field_fiscal_year_tid=All,landing_page,official,Exact attachment URL pending verification
pokhara_metropolitian/81-82.pdf,Pokhara Consolidated Fund Expenditure Allocation 2081/82,पोखरा सञ्चित कोष खर्च विनियोजन २०८१/८२,budget_book,PKR,2081-82,nep,https://pokharamun.gov.np/budget-program?field_fiscal_year_tid=All,landing_page,official,Exact attachment URL pending verification
pokhara_metropolitian/82-83.pdf,Pokhara Annual Development Program 2082/83,पोखरा वार्षिक विकास कार्यक्रम २०८२/८३,annual_program,PKR,2082-83,nep,https://pokharamun.gov.np/budget-program?field_fiscal_year_tid=All,landing_page,official,Exact attachment URL pending verification
rupa_vdc/79-80 (1).pdf,Rupa Rural Municipality Budget Statement 2079/80,रूपा गाउँपालिकाको बजेट वक्तव्य २०७९/८०,budget_speech,RUPA,2079-80,nep,https://rupamun.gov.np/budget-program,landing_page,official,Exact attachment URL pending verification
rupa_vdc/80-81 (1).pdf,Rupa Rural Municipality Budget Statement 2080/81,रूपा गाउँपालिकाको बजेट वक्तव्य २०८०/८१,budget_speech,RUPA,2080-81,nep,https://rupamun.gov.np/budget-program,landing_page,official,Exact attachment URL pending verification
rupa_vdc/81-82 (1).pdf,Rupa Rural Municipality Economic Bill and Program 2081/82,रूपा गाउँपालिकाको आर्थिक विधेयक तथा कार्यक्रम २०८१/८२,economic_act,RUPA,2081-82,nep,https://rupamun.gov.np/budget-program,landing_page,official,Exact attachment URL pending verification
rupa_vdc/82-83 (1).pdf,Rupa Rural Municipality Economic Bill and Program 2082/83,रूपा गाउँपालिकाको आर्थिक विधेयक तथा कार्यक्रम २०८२/८३,economic_act,RUPA,2082-83,nep,https://rupamun.gov.np/budget-program,landing_page,official,Exact attachment URL pending verification
jalpa/jalpa initial bid.pdf,Pokhara Jalpa Marg Upgrading Bidding Document 2077/78,पोखरा जाल्पा मार्ग स्तरोन्नति बोलपत्र कागजात २०७७/७८,procurement_notice,PKR,2077-78,eng,https://bolpatra.gov.np/egp/searchOpportunity,landing_page,official,Exact opportunity detail and direct PDF URLs pending verification,PKR-W08-JALPA-2077-78,procurement,1,30,Cover; Invitation for Bids; Bid Data Sheet,Official FY 2077/78 tender with IFB 16.1/PMC/077-78 and Contract ID 45/PMC/NCB/W/077-78; the NPR 9477987.16 estimate is not an award or payment amount.,आर्थिक वर्ष २०७७/७८ को IFB 16.1/PMC/077-78 र Contract ID 45/PMC/NCB/W/077-78 भएको आधिकारिक बोलपत्र; रु. ९४७७९८७.१६ अनुमान ठेक्का वा भुक्तानी रकम होइन।
jalpa/jalpa initial BID ADDENDUM DOCUMENT.pdf,Pokhara Jalpa Marg Upgrading Bid Addendum 2077/78,पोखरा जाल्पा मार्ग स्तरोन्नति बोलपत्र संशोधन २०७७/७८,procurement_notice,PKR,2077-78,eng,https://bolpatra.gov.np/egp/searchOpportunity,landing_page,official,Exact opportunity detail and direct PDF URLs pending verification,PKR-W08-JALPA-2077-78,procurement,1,5,Bid Addendum No. 1,Official addendum published 22 February 2021 with revised BOQ and contract conditions; it does not identify an awarded bidder.,२२ फेब्रुअरी २०२१ मा प्रकाशित संशोधित BOQ र ठेक्का सर्तसहितको आधिकारिक संशोधन; यसले ठेक्का पाउने बोलपत्रदाता पहिचान गर्दैन।
jalpa/second jalpa .pdf,Pokhara Jalpa Marg Upgrading Bidding Document 2078/79,पोखरा जाल्पा मार्ग स्तरोन्नति बोलपत्र कागजात २०७८/७९,procurement_notice,PKR,2078-79,eng,https://bolpatra.gov.np/egp/searchOpportunity,landing_page,official,Exact opportunity detail and direct PDF URLs pending verification,PKR-W08-JALPA-UPGRADE-2078-79,procurement,2,28,Cover; Invitation for Bids; Bid Data Sheet,Official later procurement with IFB 57.1/PMC/078-079 and Contract ID 149/PMC/NCB/W/078-079; no continuity with the FY 2077/78 package is assumed.,IFB 57.1/PMC/078-079 र Contract ID 149/PMC/NCB/W/078-079 भएको पछिल्लो आधिकारिक खरिद; आर्थिक वर्ष २०७७/७८ को प्याकेजसँग निरन्तरता मानिएको छैन।
jalpa/latest jalpaBID DOCUMENT.pdf,Pokhara Jalpa Marg Footpath Bidding Document 2082/83,पोखरा जाल्पा मार्ग फुटपाथ बोलपत्र कागजात २०८२/८३,procurement_notice,PKR,2082-83,eng,https://bolpatra.gov.np/egp/searchOpportunity,landing_page,official,Exact opportunity detail and direct PDF URLs pending verification,PKR-W08-JALPA-FOOTPATH-2082-83,procurement,1,29,Cover; Invitation for Bids; Bid Data Sheet,Original official footpath tender with IFB 34.4/PMC/082-83 and Contract ID 123/PMC/NCB/W/Purbadhar/082-83; superseded facts must be read with Addendum No. 1.,IFB 34.4/PMC/082-83 र Contract ID 123/PMC/NCB/W/Purbadhar/082-83 भएको मूल आधिकारिक फुटपाथ बोलपत्र; परिवर्तन भएका विवरण संशोधन नं. १ सँगै पढ्नुपर्छ।
jalpa/latest jalpaBID ADDENDUM DOCUMENT.pdf,Pokhara Jalpa Marg Footpath Bid Addendum 2082/83,पोखरा जाल्पा मार्ग फुटपाथ बोलपत्र संशोधन २०८२/८३,procurement_notice,PKR,2082-83,eng,https://bolpatra.gov.np/egp/searchOpportunity,landing_page,official,Exact opportunity detail and direct PDF URLs pending verification,PKR-W08-JALPA-FOOTPATH-2082-83,procurement,1,36,Bid Addendum No. 1 and revised invitation,Official addendum published 20 May 2026 revising the estimate to NPR 2217190.45 and extending the deadline to 1 June 2026; it is not an award.,२० मे २०२६ मा प्रकाशित आधिकारिक संशोधनले अनुमान रु. २२१७१९०.४५ र समयसीमा १ जुन २०२६ बनाउँछ; यो ठेक्का प्रदान अभिलेख होइन।
